%  GPST Time  latitude(deg) longitude(deg)  height(m)   Q  ns   sdn(m)   sde(m)   sdu(m)  sdne(m)  sdeu(m)  sdun(m) age(s)  ratio
2281 489584   16.262306655  -61.527538674   -22.6180   6  19   0.3583   0.5963   0.9484   0.0869   0.3709   0.2968   0.00    0.0
2281 489585   16.262306648  -61.527538613   -22.6375   6  20   0.3549   0.5924   0.9419   0.0849   0.3698   0.2951   0.00    0.0
2281 489586   16.262306630  -61.527538575   -22.6631   6  19   0.3517   0.5887   0.9355   0.0827   0.3687   0.2934   0.00    0.0
2281 489587   16.262306644  -61.527538541   -22.6898   6  18   0.3485   0.5851   0.9291   0.0804   0.3676   0.2918   0.00    0.0
2281 489588   16.262306631  -61.527538497   -22.7201   6  19   0.3453   0.5815   0.9229   0.0782   0.3665   0.2901   0.00    0.0
2281 489589   16.262306636  -61.527538420   -22.7473   6  19   0.3421   0.5779   0.9167   0.0760   0.3654   0.2885   0.00    0.0
2281 489590   16.262306639  -61.527538374   -22.7827   6  18   0.3390   0.5746   0.9106   0.0739   0.3645   0.2869   0.00    0.0
2281 489591   16.262306613  -61.527538351   -22.8124   6  18   0.3360   0.5713   0.9047   0.0719   0.3635   0.2854   0.00    0.0
2281 489592   16.262306591  -61.527538329   -22.8499   6  18   0.3331   0.5681   0.8989   0.0699   0.3626   0.2839   0.00    0.0
2281 489593   16.262306579  -61.527538300   -22.8867   6  18   0.3301   0.5649   0.8931   0.0680   0.3617   0.2824   0.00    0.0
2281 489594   16.262306591  -61.527538256   -22.9098   6  18   0.3272   0.5617   0.8875   0.0661   0.3608   0.2809   0.00    0.0
2281 489595   16.262306584  -61.527538198   -22.9365   6  18   0.3244   0.5586   0.8819   0.0642   0.3599   0.2794   0.00    0.0
2281 489596   16.262306581  -61.527538123   -22.9636   6  18   0.3216   0.5555   0.8764   0.0623   0.3590   0.2780   0.00    0.0
2281 489597   16.262306580  -61.527538050   -22.9980   6  18   0.3189   0.5524   0.8709   0.0605   0.3581   0.2766   0.00    0.0
2281 489598   16.262306577  -61.527537961   -23.0266   6  19   0.3161   0.5493   0.8655   0.0590   0.3572   0.2752   0.00    0.0
2281 489599   16.262306589  -61.527537907   -23.0399   6  18   0.3135   0.5462   0.8603   0.0574   0.3563   0.2738   0.00    0.0
2281 489600   16.262306605  -61.527537864   -23.0444   6  18   0.3108   0.5431   0.8551   0.0559   0.3554   0.2725   0.00    0.0
2281 489601   16.262306617  -61.527537853   -23.0465   6  17   0.3082   0.5402   0.8499   0.0541   0.3545   0.2711   0.00    0.0
2281 489602   16.262306635  -61.527537779   -23.0486   6  19   0.3057   0.5370   0.8448   0.0525   0.3536   0.2698   0.00    0.0
2281 489603   16.262306669  -61.527537696   -23.0497   6  19   0.3032   0.5339   0.8398   0.0510   0.3526   0.2684   0.00    0.0
2281 489604   16.262306736  -61.527537623   -23.0595   6  17   0.3007   0.5311   0.8348   0.0492   0.3517   0.2671   0.00    0.0
